"country","avg_infant_mortality","avg_under_five_mortality","avg_immunisation","corr_immunisation_infant_mortality","corr_immunisation_under_five_mortality"
"Afghanistan",78.25,107.5625,825.0625,0.70545513924636,0.690203168366435
"Albania",0.6875,0.9375,83.1666666666667,0.70545513924636,0.690203168366435
"Algeria",20.2727272727273,23.3636363636364,272.212121212121,0.70545513924636,0.690203168366435
"Angola",76.625,118.75,1355.83333333333,0.70545513924636,0.690203168366435
"Argentina",10,11.2307692307692,58.9230769230769,0.70545513924636,0.690203168366435
"Armenia",1,1,155.377777777778,0.70545513924636,0.690203168366435
"Australia",1,1.35714285714286,97.0238095238095,0.70545513924636,0.690203168366435
"Austria",0,0,75.8666666666667,0.70545513924636,0.690203168366435
"Azerbaijan",5.76923076923077,6.76923076923077,268.794871794872,0.70545513924636,0.690203168366435
"Bangladesh",142.416666666667,184.833333333333,1753.52777777778,0.70545513924636,0.690203168366435
"Belarus",0.6,0.933333333333333,67.9555555555555,0.70545513924636,0.690203168366435
"Belgium",0.266666666666667,1,84.8222222222222,0.70545513924636,0.690203168366435
"Belize",0,0,63.4666666666667,0.70545513924636,0.690203168366435
"Benin",25,39.1538461538462,239.897435897436,0.70545513924636,0.690203168366435
"Bhutan",0.733333333333333,1,89.1555555555556,0.70545513924636,0.690203168366435
"Bosnia and Herzegovina",0,0,149.878787878788,0.70545513924636,0.690203168366435
"Botswana",2,3.2,145.577777777778,0.70545513924636,0.690203168366435
"Brazil",70,79.2666666666667,94,0.70545513924636,0.690203168366435
"Bulgaria",1,1,607.155555555556,0.70545513924636,0.690203168366435
"Burkina Faso",43,74.2222222222222,2496.22222222222,0.70545513924636,0.690203168366435
"Burundi",23,34.5454545454545,121.393939393939,0.70545513924636,0.690203168366435
"Cambodia",13.8888888888889,16.2222222222222,476.296296296296,0.70545513924636,0.690203168366435
"Cameroon",53.2,82.6,203.366666666667,0.70545513924636,0.690203168366435
"Canada",2,2,82.25,0.70545513924636,0.690203168366435
"Central African Republic",16.1666666666667,23.5,119.166666666667,0.70545513924636,0.690203168366435
"Chad",46,79.1428571428571,529,0.70545513924636,0.690203168366435
"Chile",2,2,50.2962962962963,0.70545513924636,0.690203168366435
"China",304.066666666667,361.133333333333,22532.3111111111,0.70545513924636,0.690203168366435
"Colombia",14.1333333333333,16.6666666666667,57.3555555555556,0.70545513924636,0.690203168366435
"Comoros",1.83333333333333,2,77.3888888888889,0.70545513924636,0.690203168366435
"Costa Rica",1,1,49.0444444444444,0.70545513924636,0.690203168366435
"Croatia",0,0,67.25,0.70545513924636,0.690203168366435
"Cyprus",0,0,64.1555555555556,0.70545513924636,0.690203168366435
"Djibouti",1,1.875,96.1666666666667,0.70545513924636,0.690203168366435
"Dominican Republic",6.46666666666667,7.86666666666667,54.4888888888889,0.70545513924636,0.690203168366435
"Ecuador",7.46666666666667,8.86666666666667,59.5333333333333,0.70545513924636,0.690203168366435
"El Salvador",2.6,2.93333333333333,55.8222222222222,0.70545513924636,0.690203168366435
"Equatorial Guinea",3,4,13,0.70545513924636,0.690203168366435
"Eritrea",6.5,9.2,97.7666666666667,0.70545513924636,0.690203168366435
"Estonia",0,0,61.6060606060606,0.70545513924636,0.690203168366435
"Ethiopia",160.625,240,1534,0.70545513924636,0.690203168366435
"Fiji",0,0,83.0666666666667,0.70545513924636,0.690203168366435
"France",3,3.46666666666667,991.933333333333,0.70545513924636,0.690203168366435
"Gabon",2,3,49.8666666666667,0.70545513924636,0.690203168366435
"Georgia",1.2,1.26666666666667,504.155555555556,0.70545513924636,0.690203168366435
"Germany",2.53333333333333,3.26666666666667,534.777777777778,0.70545513924636,0.690203168366435
"Ghana",40.2307692307692,59.6923076923077,513.128205128205,0.70545513924636,0.690203168366435
"Greece",0.2,0.466666666666667,68.6222222222222,0.70545513924636,0.690203168366435
"Guatemala",12.1,14.8,55.9333333333333,0.70545513924636,0.690203168366435
"Guinea",28.625,44,63.5,0.70545513924636,0.690203168366435
"Guinea-Bissau",4,6.5,53.9444444444444,0.70545513924636,0.690203168366435
"Guyana",0.571428571428571,1,58.5952380952381,0.70545513924636,0.690203168366435
"Haiti",14,19,39.6666666666667,0.70545513924636,0.690203168366435
"Honduras",4.73333333333333,5.8,63.4,0.70545513924636,0.690203168366435
"India",1268.81818181818,1681.81818181818,14430.4545454545,0.70545513924636,0.690203168366435
"Indonesia",153.666666666667,190,5486.8,0.70545513924636,0.690203168366435
"Iraq",31.5454545454545,38.3636363636364,1525.18181818182,0.70545513924636,0.690203168366435
"Ireland",0,0,121.4,0.70545513924636,0.690203168366435
"Israel",1,1,111.533333333333,0.70545513924636,0.690203168366435
"Italy",2.06666666666667,2.33333333333333,757.844444444444,0.70545513924636,0.690203168366435
"Jamaica",1,1,56.75,0.70545513924636,0.690203168366435
"Jordan",4,4,74.0444444444444,0.70545513924636,0.690203168366435
"Kazakhstan",7.33333333333333,8.26666666666667,496.577777777778,0.70545513924636,0.690203168366435
"Kenya",65.0769230769231,97.0769230769231,302.846153846154,0.70545513924636,0.690203168366435
"Kiribati",0,0,51.4888888888889,0.70545513924636,0.690203168366435
"Latvia",0,0,62.4,0.70545513924636,0.690203168366435
"Lebanon",1,1,151.022222222222,0.70545513924636,0.690203168366435
"Lesotho",4.41666666666667,6.16666666666667,141.194444444444,0.70545513924636,0.690203168366435
"Liberia",9.14285714285714,12.2857142857143,159.380952380952,0.70545513924636,0.690203168366435
"Lithuania",0,0,65.3111111111111,0.70545513924636,0.690203168366435
"Luxembourg",0,0,63.8222222222222,0.70545513924636,0.690203168366435
"Madagascar",34.2307692307692,49.7692307692308,2826.79487179487,0.70545513924636,0.690203168366435
"Malawi",36.0769230769231,56.7692307692308,3149.76923076923,0.70545513924636,0.690203168366435
"Malaysia",3.26666666666667,4.13333333333333,551.377777777778,0.70545513924636,0.690203168366435
"Maldives",0,0,121.333333333333,0.70545513924636,0.690203168366435
"Mali",55.25,94.25,215.777777777778,0.70545513924636,0.690203168366435
"Malta",0,0,56.2222222222222,0.70545513924636,0.690203168366435
"Mauritania",8,12,108.633333333333,0.70545513924636,0.690203168366435
"Mauritius",0,0,83.4888888888889,0.70545513924636,0.690203168366435
"Mexico",40.2666666666667,47.2666666666667,67.5333333333333,0.70545513924636,0.690203168366435
"Mongolia",1.6,2,351.8,0.70545513924636,0.690203168366435
"Montenegro",0,0,43.2222222222222,0.70545513924636,0.690203168366435
"Morocco",21.6666666666667,25.2,982.666666666667,0.70545513924636,0.690203168366435
"Mozambique",74.2857142857143,107.071428571429,1674.83333333333,0.70545513924636,0.690203168366435
"Myanmar",54.25,73.9166666666667,335.583333333333,0.70545513924636,0.690203168366435
"Namibia",2.8,3.6,377.533333333333,0.70545513924636,0.690203168366435
"Nepal",26.6666666666667,34.5833333333333,1323.88888888889,0.70545513924636,0.690203168366435
"Netherlands",1,1,280.583333333333,0.70545513924636,0.690203168366435
"Nicaragua",3.13333333333333,3.8,59.6444444444444,0.70545513924636,0.690203168366435
"Niger",49.6666666666667,92.3333333333333,293.611111111111,0.70545513924636,0.690203168366435
"Nigeria",523.7,825.4,7328.1,0.70545513924636,0.690203168366435
"Pakistan",366.833333333333,457.583333333333,1467.47222222222,0.70545513924636,0.690203168366435
"Panama",1.07142857142857,1.71428571428571,54.6428571428571,0.70545513924636,0.690203168366435
"Papua New Guinea",10.6666666666667,13.8666666666667,874.044444444444,0.70545513924636,0.690203168366435
"Paraguay",3.08333333333333,3.5,54.1944444444444,0.70545513924636,0.690203168366435
"Peru",10.8333333333333,13.8333333333333,58.8888888888889,0.70545513924636,0.690203168366435
"Philippines",61.8,79.6666666666667,2574.57777777778,0.70545513924636,0.690203168366435
"Poland",2.26666666666667,2.73333333333333,81.7111111111111,0.70545513924636,0.690203168366435
"Portugal",0.2,0.4,63.5111111111111,0.70545513924636,0.690203168366435
"Romania",2.86666666666667,3.33333333333333,549.644444444444,0.70545513924636,0.690203168366435
"Rwanda",19.5384615384615,29.7692307692308,194.358974358974,0.70545513924636,0.690203168366435
"Samoa",0,0,37.4222222222222,0.70545513924636,0.690203168366435
"Sao Tome and Principe",0,0,59.7777777777778,0.70545513924636,0.690203168366435
"Senegal",21.3636363636364,33.6363636363636,105.575757575758,0.70545513924636,0.690203168366435
"Serbia",1,1,81.3939393939394,0.70545513924636,0.690203168366435
"Seychelles",0,0,66.0222222222222,0.70545513924636,0.690203168366435
"Sierra Leone",26.25,38.625,252.083333333333,0.70545513924636,0.690203168366435
"Solomon Islands",0,0,54.7777777777778,0.70545513924636,0.690203168366435
"South Africa",49.1333333333333,71,578.622222222222,0.70545513924636,0.690203168366435
"Spain",1.66666666666667,1.93333333333333,220.377777777778,0.70545513924636,0.690203168366435
"Sri Lanka",3.83333333333333,4.66666666666667,178.972222222222,0.70545513924636,0.690203168366435
"Suriname",0,0,56.9333333333333,0.70545513924636,0.690203168366435
"Sweden",0,0,62.8333333333333,0.70545513924636,0.690203168366435
"Tajikistan",10.3076923076923,12.3076923076923,136.692307692308,0.70545513924636,0.690203168366435
"Thailand",12.4,14.4666666666667,1594.75555555556,0.70545513924636,0.690203168366435
"Togo",13.8571428571429,21,158.571428571429,0.70545513924636,0.690203168366435
"Tonga",0,0,52.3555555555556,0.70545513924636,0.690203168366435
"Trinidad and Tobago",0,0.153846153846154,46.025641025641,0.70545513924636,0.690203168366435
"Tunisia",3.26666666666667,3.73333333333333,76.2222222222222,0.70545513924636,0.690203168366435
"Turkey",27.7333333333333,33.2,1922.6,0.70545513924636,0.690203168366435
"Turkmenistan",6.53846153846154,8,67.2051282051282,0.70545513924636,0.690203168366435
"Uganda",87.5384615384615,134.692307692308,2779.5641025641,0.70545513924636,0.690203168366435
"Ukraine",5.13333333333333,6,1962.71111111111,0.70545513924636,0.690203168366435
"Uruguay",0.6,0.8,62.8222222222222,0.70545513924636,0.690203168366435
"Uzbekistan",21.3846153846154,24.9230769230769,146.948717948718,0.70545513924636,0.690203168366435
"Vanuatu",0,0,47.1777777777778,0.70545513924636,0.690203168366435
"Zambia",30.5,46.9,1082.93333333333,0.70545513924636,0.690203168366435
"Zimbabwe",26.8666666666667,41.4,376.266666666667,0.70545513924636,0.690203168366435
